,Year,Week,Dengue_Count
16,2020,17,398
17,2020,18,389
18,2020,19,506
19,2020,20,525
20,2020,21,618
21,2020,22,731
22,2020,23,866
23,2020,24,1152
24,2020,25,1370
25,2020,26,1460
26,2020,27,1448
27,2020,28,1664
28,2020,29,1724
29,2020,30,1787
30,2020,31,1376
31,2020,32,1664
32,2020,33,1337
33,2020,34,1285
34,2020,35,1149
35,2020,36,934
36,2020,37,722
37,2020,38,669
38,2020,39,587
39,2020,40,603
40,2020,41,524
41,2020,42,587
42,2020,43,563
43,2020,44,438
44,2020,45,406
45,2020,46,354
46,2020,47,256
47,2020,48,278
48,2020,49,227
49,2020,50,226
50,2020,51,233
51,2020,52,195
52,2020,53,191
53,2021,1,208
54,2021,2,157
55,2021,3,150
56,2021,4,136
57,2021,5,146
58,2021,6,141
59,2021,7,145
60,2021,8,144
61,2021,9,139
62,2021,10,139
63,2021,11,127
64,2021,12,119
65,2021,13,113
66,2021,14,100
67,2021,15,108
68,2021,16,133
69,2021,17,80
70,2021,18,115
71,2021,19,93
72,2021,20,118
73,2021,21,129
74,2021,22,121
75,2021,23,136
76,2021,24,135
77,2021,25,125
78,2021,26,106
79,2021,27,104
80,2021,28,72
81,2021,29,82
82,2021,30,76
83,2021,31,69
84,2021,32,85
85,2021,33,48
86,2021,34,48
87,2021,35,49
88,2021,36,57
89,2021,37,77
90,2021,38,106
91,2021,39,109
92,2021,40,102
93,2021,41,77
94,2021,42,80
95,2021,43,69
96,2021,44,56
97,2021,45,45
98,2021,46,55
99,2021,47,67
100,2021,48,47
101,2021,49,61
102,2021,50,60
103,2021,51,71
104,2021,52,66
106,2022,1,115
107,2022,2,146
108,2022,3,184
109,2022,4,165
110,2022,5,152
111,2022,6,166
112,2022,7,217
113,2022,8,190
114,2022,9,276
115,2022,10,370
116,2022,11,426
117,2022,12,433
118,2022,13,529
119,2022,14,656
120,2022,15,742
121,2022,16,949
122,2022,17,985
123,2022,18,867
124,2022,19,1309
125,2022,20,1307
126,2022,21,1551
127,2022,22,1446
128,2022,23,1451
129,2022,24,1253
130,2022,25,1163
131,2022,26,1198
132,2022,27,1144
133,2022,28,908
134,2022,29,1037
135,2022,30,1084
136,2022,31,879
137,2022,32,888
138,2022,33,667
139,2022,34,653
140,2022,35,574
141,2022,36,581
142,2022,37,550
143,2022,38,451
144,2022,39,423
145,2022,40,401
146,2022,41,376
147,2022,42,369
148,2022,43,302
149,2022,44,324
150,2022,45,279
151,2022,46,322
152,2022,47,257
153,2022,48,242
154,2022,49,335
155,2022,50,283
156,2022,51,273
157,2022,52,255
159,2023,1,278
160,2023,2,278
161,2023,3,277
162,2023,4,272
163,2023,5,185
164,2023,6,222
165,2023,7,218
166,2023,8,147
167,2023,9,137
168,2023,10,110
169,2023,11,118
170,2023,12,148
171,2023,13,127
172,2023,14,107
173,2023,15,115
174,2023,16,131
175,2023,17,113
176,2023,18,127
177,2023,19,117
178,2023,20,99
179,2023,21,120
180,2023,22,132
181,2023,23,110
182,2023,24,161
183,2023,25,269
184,2023,26,213
185,2023,27,270
186,2023,28,234
187,2023,29,207
188,2023,30,199
189,2023,31,214
190,2023,32,161
191,2023,33,195
192,2023,34,191
193,2023,35,197
194,2023,36,212
195,2023,37,260
196,2023,38,329
197,2023,39,302
198,2023,40,341
199,2023,41,265
200,2023,42,214
201,2023,43,207
202,2023,44,190
203,2023,45,151
204,2023,46,155
205,2023,47,142
206,2023,48,170
207,2023,49,143
208,2023,50,182
209,2023,51,209
210,2023,52,233
211,2023,53,274
212,2024,1,304
213,2024,2,393
214,2024,3,408
215,2024,4,429
216,2024,5,485
217,2024,6,514
218,2024,7,429
219,2024,8,459
220,2024,9,369
221,2024,10,366
222,2024,11,330
223,2024,12,319
224,2024,13,348
225,2024,14,414
226,2024,15,306
227,2024,16,340
228,2024,17,336
229,2024,18,247
230,2024,19,325
231,2024,20,290
232,2024,21,287
233,2024,22,312
234,2024,23,332
235,2024,24,302
236,2024,25,296
237,2024,26,290
238,2024,27,326
