Date,0
2018-09-10,-78.06405051921777
2018-09-17,-95.18014845016273
2018-09-24,-94.01728106269084
2018-10-01,-47.70185811811601
2018-10-08,-91.92799219394213
2018-10-15,-90.27130343090889
2018-10-22,-74.28753175091958
2018-10-29,-76.1082497812326
2018-11-05,-122.98276443997071
2018-11-12,-84.31588603874769
2018-11-19,-109.18377773878544
2018-11-26,-66.71175791838365
2018-12-03,-89.8605132338104
2018-12-10,-72.07670455311082
2018-12-17,-61.587940650331944
2018-12-24,-51.8475810040963
2019-01-07,196.60838512400153
2019-01-14,217.35114495614272
2019-01-21,202.51572521699632
2019-01-28,205.65056779034182
2019-02-04,178.6417937200788
2019-02-11,161.42393834070174
2019-02-18,163.53927711797823
2019-02-25,136.84622840998995
2019-03-04,125.97967376221388
2019-03-11,105.52449505028221
2019-03-18,94.90295802090057
2019-03-25,92.65786269955169
2019-04-01,109.12045057888889
2019-04-08,99.32087761420114
2019-04-15,119.58196527765432
2019-04-22,116.35503085632253
2019-04-29,139.37111520727552
2019-05-06,118.33848747845882
2019-05-13,162.10803598695952
2019-05-20,136.34132840581663
2019-05-27,191.4305125864467
2019-06-03,206.9492181639863
2019-06-10,200.33053757584037
2019-06-17,237.0277565619911
2019-06-24,510.2649241633931
2019-07-01,522.1250726236954
2019-07-08,536.8347608231786
2019-07-15,497.26252808294754
2019-07-22,465.9850770496444
2019-07-29,442.0919152029971
2019-08-05,392.94208629914135
2019-08-12,385.40584297437204
2019-08-19,396.9778120853184
2019-08-26,366.5943833173219
2019-09-02,389.19347414880195
2019-09-09,356.3906203490849
2019-09-16,343.03383116638076
2019-09-23,332.1943276390348
2019-09-30,318.5900195639723
2019-10-07,330.9953682938768
2019-10-14,324.706387361113
2019-10-21,319.33086869352525
2019-10-28,328.2375516285023
2019-11-04,338.8793189298029
2019-11-11,319.8254986717815
2019-11-18,321.51773016125753
2019-11-25,290.2799209051197
2019-12-02,298.2715368903547
2019-12-09,320.50107054438564
2019-12-16,307.74807068674744
2019-12-23,319.4381879062844
2019-12-30,322.48661291197163
2020-01-06,397.4378085817846
2020-01-13,416.3046318316085
2020-01-20,391.997173278339
2020-01-27,394.78362527143327
2020-02-03,375.3119738310733
2020-02-10,375.98361228658047
2020-02-17,383.0787527911093
2020-02-24,346.3315799472733
2020-03-02,317.2028937323498
2020-03-09,312.0040338542784
2020-03-16,314.93548611117967
2020-03-23,316.6986762068806
2020-03-30,303.08627570060975
2020-04-06,312.4554781086065
2020-04-13,311.8207157020459
2020-04-20,319.5150859784194
2020-04-27,324.7534827750451
2020-05-04,297.35516263109406
2020-05-11,156.6022545291496
2020-05-18,154.4917311278843
2020-05-25,552.6800780121561
2020-06-01,585.8421471380155
2020-06-08,592.9501095607461
2020-06-15,620.1715479574725
2020-06-22,649.0294395529276
2020-06-29,663.7640170693107
2020-07-06,675.3664792920166
2020-07-13,640.8801506882237
2020-07-20,636.5605425706303
2020-07-27,593.3084676125854
2020-08-03,506.9041916909434
2020-08-10,504.4121366869777
2020-08-17,494.41280942544506
2020-08-24,479.642789433056
2020-08-31,489.4048187261217
2020-09-07,469.65599440170547
2020-09-14,447.96044326890217
2020-09-21,443.25599198651594
2020-09-28,421.3990132638158
2020-10-05,442.71085112193117
2020-10-12,425.44784064848756
2020-10-19,411.74681102767096
2020-10-26,416.99985131455094
2020-11-02,412.46902782575285
2020-11-09,432.13539698977127
2020-11-16,429.23692697833457
2020-11-23,411.3044402197812
2020-11-30,436.08334067670893
2020-12-07,408.10774617136497
2020-12-14,418.1085394413567
2020-12-21,460.62980023017667
2020-12-28,466.8871101240773
2021-01-04,545.7916529949975
2021-01-11,532.5711735294453
2021-01-18,525.3642054716626
2021-01-25,512.432313566545
2021-02-01,482.9847649487056
2021-02-08,469.49941336345034
2021-02-15,480.3468289991303
2021-02-22,443.8253279004905
2021-03-01,452.15667165543124
2021-03-08,418.93894804741734
2021-03-15,449.00430768969204
2021-03-22,435.0923955673586
2021-03-29,380.7041435176009
2021-04-05,414.92721199452194
2021-04-12,373.04119779447666
2021-04-19,423.5397080601541
2021-04-26,100.46183403055403
2021-05-03,95.1849195719053
2021-05-10,133.83067919681258
2021-05-17,150.51783153268286
2021-05-24,212.44303501020053
2021-05-31,223.2669346297783
2021-06-07,210.36636921613945
2021-06-14,246.1948075168333
2021-06-21,263.7387375557569
2021-06-28,297.79600132760913
2021-07-05,318.5002806838639
2021-07-12,324.262668943886
2021-07-19,240.53526826888978
2021-07-26,263.9219266827429
2021-08-02,195.7273256445057
2021-08-09,212.6090332632383
2021-08-16,224.0170002728497
2021-08-23,219.08107428801364
2021-08-30,229.89238409168917
2021-09-06,206.64508468867817
2021-09-13,172.20421851168382
2021-09-20,166.51922614312662
2021-09-27,175.06469906751323
2021-10-04,162.66295658721057
2021-10-11,76.10705961330402
2021-10-18,57.66605376940268
2021-10-25,74.80159106377415
2021-11-01,48.53113987213193
2021-11-08,9.165626113006851
2021-11-15,42.31361650001695
2021-11-22,18.438065939686908
2021-11-29,30.65129532026053
2021-12-06,40.192632651677684
2021-12-13,44.39463195529426
2021-12-20,53.95200819022182
2021-12-27,-36.58460292244564
2022-01-03,-12.588181388171336
2022-01-10,3.743127029815355
2022-01-17,5.486764832795075
2022-01-24,-13.918506793168092
2022-01-31,-14.828515936234083
2022-02-07,-41.37361438818746
2022-02-14,-43.36279251899754
2022-02-21,-45.26101666874112
2022-02-28,-45.015319027074156
2022-03-07,232.03972092139384
2022-03-14,289.0255696483031
2022-03-21,287.47332361395803
2022-03-28,416.4922296900518
2022-04-04,442.14220050483533
2022-04-11,457.95558572768743
2022-04-18,480.034006384294
2022-04-25,476.97611303830905
2022-05-02,473.7283368669363
2022-05-09,557.5793949182126
2022-05-16,524.6590154641922
2022-05-23,584.6721717268875
2022-05-30,608.857019581966
2022-06-06,597.9473603128934
2022-06-13,617.5216188113607
2022-06-20,666.5464095328202
2022-06-27,442.35509943849075
2022-07-04,451.255097361245
2022-07-11,451.9555272784468
2022-07-18,409.3959534616523
2022-07-25,413.67289298743526
2022-08-01,331.97741051651184
2022-08-08,382.4988655700779
2022-08-15,345.3476708170176
2022-08-22,320.96517330677597
2022-08-29,320.6202580892309
2022-09-05,276.2354033911446
2022-09-12,527.539298341581
